"policy","corruption","rho","seed","eval_seed","n_transitions","open_loop_mse","closed_loop_success","final_dist","wrong_side_rate"
"trees","truncation","0.25","8","12353","10969","0.137703","1.0","0.0406","0.0"
"trees","truncation","0.5","8","12353","10282","0.13355","1.0","0.0415","0.0"
"trees","truncation","0.75","8","12353","9329","0.146337","0.985","0.0463","0.005"
"trees","truncation","0.9","8","12353","8670","0.145745","0.93","0.0509","0.005"
"trees","truncation","1.0","8","12353","8205","0.155249","0.555","0.0697","0.0"
"trees","inconsistent_strategy","0.25","8","12353","13813","0.170253","0.955","0.0471","0.005"
"trees","inconsistent_strategy","0.5","8","12353","15794","0.197838","0.87","0.0541","0.01"
"trees","inconsistent_strategy","0.75","8","12353","17518","0.249899","0.63","0.0659","0.0"
"trees","inconsistent_strategy","0.9","8","12353","18100","0.285265","0.3","0.0904","0.0"
"trees","inconsistent_strategy","1.0","8","12353","19180","0.328939","0.135","0.1138","0.0"
"trees","clean","0.0","9","12354","12070","0.130971","0.985","0.0437","0.005"
"trees","occlusion","0.25","9","12354","12148","0.133772","0.995","0.0439","0.005"
"trees","occlusion","0.5","9","12354","11976","0.137913","0.995","0.042","0.005"
"trees","occlusion","0.75","9","12354","12002","0.146535","0.99","0.0425","0.005"
"trees","occlusion","0.9","9","12354","11869","0.155913","0.99","0.0468","0.01"
"trees","occlusion","1.0","9","12354","11923","0.154636","0.985","0.0501","0.015"
"trees","accidental_success","0.25","9","12354","10687","0.160241","0.955","0.0608","0.03"
"trees","accidental_success","0.5","9","12354","9216","0.197011","0.905","0.0722","0.065"
"trees","accidental_success","0.75","9","12354","7528","0.26587","0.565","0.18","0.21"
"trees","accidental_success","0.9","9","12354","6693","0.394926","0.075","0.2969","0.15"
"trees","accidental_success","1.0","9","12354","6094","0.665276","0.0","0.3117","0.0"
"trees","flailing","0.25","9","12354","12438","0.136665","0.985","0.0488","0.01"
"trees","flailing","0.5","9","12354","12812","0.133934","1.0","0.0401","0.0"
"trees","flailing","0.75","9","12354","13173","0.133014","0.99","0.043","0.005"
"trees","flailing","0.9","9","12354","13465","0.136448","1.0","0.0405","0.0"
